channel,lane,snr_db,algorithm_id,seed,frames,objective,noise_model,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,capture_start_seconds,capture_stop_seconds,capture_tap_snapshots,capture_phase_samples
red1,1,0.0,cwz_joint,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19944,0.42923553719008267,0,0.34279093749999995,0.0,0.0,32.0,3073,614600
red1,1,0.0,lite,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19944,0.42923553719008267,0,0.11530420312499999,0.0,0.0,32.0,3073,614600
red1,1,0.0,ofdm_fec,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17717,0.3813059573002755,0,0.059728221875,0.0,0.0,32.0,3073,614600
red1,1,0.0,pfft,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,20505,0.44130940082644626,0,0.059569165624999997,0.0,0.0,32.0,3073,614600
red1,1,0.0,profiled_cz,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19944,0.42923553719008267,0,0.505017309375,0.0,0.0,32.0,3073,614600
red1,1,2.0,cwz_joint,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18906,0.4068956611570248,0,0.315093315625,0.0,0.0,32.0,3073,614600
red1,1,2.0,lite,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18906,0.4068956611570248,0,0.08482303437500002,0.0,0.0,32.0,3073,614600
red1,1,2.0,ofdm_fec,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,15806,0.34017734159779617,0,0.057706412500000005,0.0,0.0,32.0,3073,614600
red1,1,2.0,pfft,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,19524,0.42019628099173556,0,0.05783602812500001,0.0,0.0,32.0,3073,614600
red1,1,2.0,profiled_cz,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18906,0.4068956611570248,0,0.463839821875,0.0,0.0,32.0,3073,614600
red1,1,4.0,cwz_joint,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17729,0.3815642217630854,0,0.290513259375,0.0,0.0,32.0,3073,614600
red1,1,4.0,lite,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,17729,0.3815642217630854,0,0.087793896875,0.0,0.0,32.0,3073,614600
red1,1,4.0,ofdm_fec,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,13093,0.28178805096418735,0,0.05367151874999999,0.0,0.0,32.0,3073,614600
red1,1,4.0,pfft,4,32,configuration,awgn,512,64,0.25,5,5,14,0,4,16,1452,0,0.0,46464,18790,0.40439910468319556,0,0.055239993749999994,0.0,0.0,32.0,3073,614600
